[2018-02-12 10:31:13,403] - logger.py] - INFO: 测试RT接口令牌无效1结果pass
[2018-02-12 11:07:42,512] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:07:42,589] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:07:42,651] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:08:32,750] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:08:32,796] - logger.py] - DEBUG: 测试RT接口令牌无效1预期结果和实际结果不符
[2018-02-12 11:08:32,796] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:08:32,796] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:08:32,828] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:09:27,171] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:09:27,219] - logger.py] - DEBUG: 测试RT接口令牌无效1预期结果和实际结果不符
[2018-02-12 11:09:27,219] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:09:27,219] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:09:27,266] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:10:56,835] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:10:57,194] - logger.py] - DEBUG: 测试RT接口令牌无效1预期结果和实际结果不符
[2018-02-12 11:10:57,194] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:10:57,194] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:10:57,240] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:12:52,157] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:12:52,204] - logger.py] - DEBUG: 测试RT接口令牌无效1预期结果和实际结果不符
[2018-02-12 11:12:52,204] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:12:52,204] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:12:52,252] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:13:27,944] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:13:27,992] - logger.py] - DEBUG: 测试RT接口令牌无效1预期结果和实际结果不符
[2018-02-12 11:13:27,992] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:13:27,992] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:13:28,039] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:16:17,203] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:16:17,240] - logger.py] - DEBUG: 测试RT接口令牌无效1预期结果和实际结果不符
[2018-02-12 11:16:17,242] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:16:17,242] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:16:17,259] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:16:28,770] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:16:28,786] - logger.py] - DEBUG: 测试RT接口令牌无效1预期结果和实际结果不符
[2018-02-12 11:16:28,786] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:16:28,786] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:16:28,818] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:20:40,990] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:20:41,022] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:20:41,052] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:28:35,898] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:28:35,944] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:28:35,976] - logger.py] - INFO: 测试RT接口令牌无效2测试结果pass
[2018-02-12 11:28:35,976] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:29:40,954] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:29:41,002] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:29:41,017] - logger.py] - INFO: 测试RT接口令牌无效2测试结果pass
[2018-02-12 11:29:41,017] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------



[2018-02-12 11:30:11,384] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:30:11,431] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:30:11,447] - logger.py] - INFO: 测试RT接口令牌无效2测试结果pass
[2018-02-12 11:30:11,447] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:40:26,296] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:40:26,453] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:40:26,476] - logger.py] - INFO: 测试RT接口令牌无效2测试结果pass
[2018-02-12 11:40:26,477] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 11:44:28,446] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:44:28,476] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 11:44:28,507] - logger.py] - INFO: 测试RT接口令牌无效2测试结果pass
[2018-02-12 11:44:28,507] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 13:52:50,979] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 13:52:51,275] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 13:52:51,338] - logger.py] - INFO: 测试RT接口令牌无效2测试结果pass
[2018-02-12 13:52:51,338] - logger.py] - INFO: 测试RT接口令牌无效2------------end--------------------
[2018-02-12 13:54:13,851] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 13:54:13,960] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 13:54:39,358] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 13:54:39,375] - logger.py] - INFO: 测试RT接口令牌无效1测试结果pass
[2018-02-12 13:54:39,390] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 13:55:42,579] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 13:55:42,625] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 13:56:16,244] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 13:56:16,276] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 13:56:16,276] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 13:57:06,559] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 13:57:06,573] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 13:57:06,573] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 14:04:38,759] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 14:04:38,836] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 14:04:38,852] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 14:04:38,868] - logger.py] - INFO: 测试RT接口令牌无效2预期结果和实际结果不符
[2018-02-12 14:05:58,102] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 14:05:58,150] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 14:05:58,150] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 14:05:58,196] - logger.py] - ERROR: 测试RT接口令牌无效2预期结果和实际结果不符
[2018-02-12 14:07:30,244] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 14:07:30,292] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 14:07:30,292] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 14:07:30,354] - logger.py] - ERROR: 测试RT接口令牌无效2预期结果和实际结果不符
[2018-02-12 14:36:11,457] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 14:36:11,519] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 14:36:11,519] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 14:37:02,114] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 14:37:02,191] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 14:37:02,191] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 14:37:02,223] - logger.py] - ERROR: 测试RT接口令牌无效2预期结果和实际结果不符




[2018-02-12 14:37:26,247] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 14:37:26,279] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 14:37:26,279] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 14:37:26,309] - logger.py] - ERROR: 测试RT接口令牌无效2预期结果和实际结果不符
[2018-02-12 16:07:42,105] - logger.py] - INFO: RT接口1---------start---------
[2018-02-12 16:09:04,290] - logger.py] - INFO: RT接口1---------start---------
[2018-02-12 16:11:27,650] - logger.py] - INFO: RT接口1---------start---------
[2018-02-12 16:12:01,180] - logger.py] - INFO: RT接口1---------start---------
[2018-02-12 16:16:31,279] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 16:16:31,312] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 16:16:31,312] - logger.py] - INFO: 测试RT接口令牌无效2---------start---------
[2018-02-12 16:16:31,404] - logger.py] - ERROR: 测试RT接口令牌无效2预期结果和实际结果不符
[2018-02-12 16:16:31,404] - logger.py] - INFO: RT接口1---------start---------
